obs	shann
010472-00BO	1441	5.98293794033778
010517O1V2	502	4.92057518751357
010517O1V3	1103	5.24202756747454
010522-V3	1447	6.29231743946106
010516-00BO	1606	5.99639622560768
010518-00BO	1528	6.27193377685621
010483O0B0	1195	5.83884938199252
010522-V1	1297	6.06802642362564
010504-00BO	1106	5.86445646087799
010543	1735	6.41535259160296
010542O0B0	1011	5.69818863011724
010548O1V1	1060	5.67428359074832
010491O2V2	1157	6.05639054089338
010547-00BO	1045	5.90405054136045
010476-00BO	929	5.60281314900875
010548O2V1	1247	5.98207161488691
010429	1070	5.71869391186759
010538O0B0	974	5.66500227874781
010532-00BO	1193	5.78415910361357
010552O1V1	1690	6.16860626566149
010545-00BO	1212	6.02245346330312
010552O1V2	1123	5.35989158910636
010548O1V2	1137	5.92567153700294
010506-00BO	1153	6.1118487353105
010548O1V3	856	5.17337569353932
010477-00BO	1170	5.96692710570921
010516O1V3	114	2.49171076744685
010558O3V1	952	5.52507095944951
010552O1V3	906	5.14036297133705
010555O0B0	742	5.11582981082127
010546-00BO	1155	6.08243863361842
010482-00BO	922	5.77620211172487
010517-00BO	1632	5.64358394343096
010534-00BO	1022	5.79496339856275
010559O0B0	1196	5.95691126405395
010535O0B0	1148	5.75610513124496
010565O0B0	1350	6.14817372453979
010558O3V3	842	5.54487157670113
010567O1V3	1455	6.12851053258531
010559O1V3	539	4.37115253594462
010567O1V2	974	5.64847647739985
010567O1V1	1148	5.84490563906915
010567O0B0	1223	6.01998389056157
010568O0B0	1294	6.11757153395775
010575O0B0	1292	6.09699346051245
010576O0B0	647	5.40596204865903
010577O0B0	1081	5.54723556825394
010566O0B0	1023	5.81696701927355
010578O0B0	1382	6.01439661291563
010574O0B0	1059	5.8601745219331
010583O0B0	826	5.41755666206973
010563O0B0	1148	5.73225020899467
010584O0B0	1152	5.95265516175237
010474-00BO	1401	5.58188082623658
010571O0B0	1012	5.54485391450689
010572O0B0	1606	6.16639083805154
010490-00BO	1379	6.02814254405098
010558O0B0	1187	5.59175363894743
010521	1023	5.38998867860514
010503-00BO	1181	5.72098403595483
010600O0B0	1116	5.6424771516634
010520O0B0	1033	5.76024032342567
010582O0B0	985	5.31099671666157
010562O0B0	1053	5.56933207048913
